sidx,skey,sday,sclose,sopen,shigh,slow,svol,syest,splus,sallvol,scom,sfor,scoms
3401,20070521,2007-05-21,96500,97500,98500,95600,64086,97900,-1400,64086,12991,-19907,51095
3400,20070522,2007-05-22,97500,96000,98100,94300,115911,96500,1000,115911,-6025,2471,113440
3399,20070523,2007-05-23,97600,97200,98500,96500,84035,97500,100,84035,12092,-7962,71943
3398,20070525,2007-05-25,96500,97000,98100,96200,76554,97600,-1100,76554,-3556,-21061,76554
3397,20070528,2007-05-28,101500,96500,102500,95500,241204,96500,5000,241204,64383,-104254,176821
3396,20070529,2007-05-29,103000,101500,105500,101000,138937,101500,1500,138937,23484,6038,109415
3395,20070530,2007-05-30,110000,101500,110000,99000,227018,103000,7000,227018,11613,33103,182302
3394,20070531,2007-05-31,114500,107000,115500,105000,410984,110000,4500,410984,188424,-222531,222560
3393,20070601,2007-06-01,114500,112000,122000,110500,306026,114500,0,306026,68331,-43645,237695
3392,20070604,2007-06-04,114000,114500,115500,112000,191965,114500,-500,191965,45229,-8826,146736
3391,20070605,2007-06-05,119500,116500,122000,112000,175371,114000,5500,175371,50871,-60605,124500
3390,20070607,2007-06-07,116000,115500,117000,112000,385526,119500,-3500,385526,59314,-167896,326212
3389,20070608,2007-06-08,111000,113000,114500,106000,307891,116000,-5000,307891,99435,-126939,208456
3388,20070611,2007-06-11,113000,114000,116500,110500,242483,111000,2000,242483,10715,17874,213894
3387,20070612,2007-06-12,116500,111500,119000,111500,212190,113000,3500,212190,27801,2256,182133
3386,20070613,2007-06-13,115500,115500,118500,113500,97161,116500,-1000,97161,18298,-11629,78863
3385,20070614,2007-06-14,116500,115500,118000,114000,132612,115500,1000,132612,40649,-74944,91963
3384,20070615,2007-06-15,118000,115500,118000,111500,138259,116500,1500,138259,18260,-35272,119999
3383,20070618,2007-06-18,118000,117000,123000,116500,133202,118000,0,133202,36055,-51998,97147
3382,20070619,2007-06-19,112000,117500,117500,112000,166668,118000,-6000,166668,-27065,-42353,166668
3381,20070620,2007-06-20,112000,114000,117000,109500,135838,112000,0,135838,18783,5233,111822
3380,20070621,2007-06-21,108000,109000,111500,107500,155878,112000,-4000,155878,38291,-69641,117587
3379,20070622,2007-06-22,105000,108500,110000,104000,143570,108000,-3000,143570,5949,-28408,137621
3378,20070625,2007-06-25,103000,104000,109500,103000,121616,105000,-2000,121616,-563,10691,110925
3377,20070626,2007-06-26,107000,103500,108500,103500,155589,103000,4000,155589,-15774,38357,117232
3376,20070627,2007-06-27,106000,108000,108500,103500,79502,107000,-1000,79502,-4700,5900,73602
3375,20070628,2007-06-28,108500,107500,109000,105500,106436,106000,2500,106436,52460,-62870,53976
3374,20070629,2007-06-29,109000,110000,111500,106500,109434,108500,500,109434,-1728,10762,98672
3373,20070702,2007-07-02,111000,107500,111000,105000,64640,109000,2000,64640,18872,-17708,45768
3372,20070703,2007-07-03,111000,110000,112000,109500,63516,111000,0,63516,-25491,16655,46861
3371,20070704,2007-07-04,107000,111000,112000,106500,198828,111000,-4000,198828,-96838,6681,192147
3370,20070705,2007-07-05,114000,107500,116000,107000,252079,107000,7000,252079,-72199,112642,139437
3369,20070706,2007-07-06,113500,113000,115000,111500,97200,114000,-500,97200,8071,-13124,89129
3368,20070709,2007-07-09,114000,114000,115500,112500,93362,113500,500,93362,-15418,7030,86332
3367,20070710,2007-07-10,113500,115500,115500,112500,85391,114000,-500,85391,-14885,19404,65987
3366,20070711,2007-07-11,110000,111000,111500,108000,119197,113500,-3500,119197,11081,-38973,108116
3365,20070712,2007-07-12,112000,110000,114500,110000,93986,110000,2000,93986,-33181,53972,40014
3364,20070713,2007-07-13,112000,114000,114000,111000,86451,112000,0,86451,-1576,-16079,86451
3363,20070716,2007-07-16,115500,113000,116000,112500,120237,112000,3500,120237,5673,464,114100
3362,20070718,2007-07-18,115500,117000,120000,115000,149466,115500,0,149466,3002,-4570,146464
3361,20070719,2007-07-19,115000,116000,118000,111500,122112,115500,-500,122112,3498,-14502,118614
3360,20070720,2007-07-20,115500,116000,117500,114000,110578,115000,500,110578,-31103,31218,79360
3359,20070723,2007-07-23,110500,115500,115500,110500,167056,115500,-5000,167056,-53911,14111,152945
3358,20070724,2007-07-24,110500,110500,113500,109500,202716,110500,0,202716,-27175,42378,160338
3357,20070725,2007-07-25,111500,110500,114500,107500,128119,110500,1000,128119,-23147,24707,103412
3356,20070726,2007-07-26,111000,113000,115000,110000,116133,111500,-500,116133,-12758,19846,96287
3355,20070727,2007-07-27,108500,108000,112500,107000,101353,111000,-2500,101353,-5873,13756,87597
3354,20070730,2007-07-30,106000,106500,107500,103000,125735,108500,-2500,125735,8100,-14342,117635
3353,20070731,2007-07-31,100000,105000,107000,99900,377891,106000,-6000,377891,-126967,-19411,377891
3352,20070801,2007-08-01,99000,101000,103000,97000,199911,100000,-1000,199911,-33033,40032,159879
3351,20070802,2007-08-02,99000,101000,101000,95700,191073,99000,0,191073,-15589,13369,177704
3350,20070803,2007-08-03,96100,101000,101000,95100,285138,99000,-2900,285138,-53319,-68188,285138
3349,20070806,2007-08-06,96700,94500,97000,92000,230686,96100,600,230686,-29557,41997,188689
3348,20070807,2007-08-07,97800,98500,98700,96000,137194,96700,1100,137194,-19148,21607,115587
3347,20070808,2007-08-08,99000,98700,99700,98500,159449,97800,1200,159449,16408,-47065,143041
3346,20070809,2007-08-09,102000,99100,102000,99100,191941,99000,3000,191941,-23196,40984,150957
3345,20070810,2007-08-10,97100,98500,99000,95500,111182,102000,-4900,111182,-28643,12073,99109
3344,20070813,2007-08-13,98200,97600,98500,95800,97562,97100,1100,97562,-10236,8834,88728
3343,20070814,2007-08-14,97000,98300,98400,93600,70005,98200,-1200,70005,-14915,11541,58464
3342,20070816,2007-08-16,89500,94000,94000,86000,196414,97000,-7500,196414,39879,-35881,156535
3341,20070817,2007-08-17,88700,88100,92100,85400,146668,89500,-800,146668,18855,-24365,127813
3340,20070820,2007-08-20,90300,90900,91000,89200,226208,88700,1600,226208,33780,-89297,192428
3339,20070821,2007-08-21,92800,91000,93100,89900,201983,90300,2500,201983,-33729,72435,129548
3338,20070822,2007-08-22,92900,93100,94000,91800,70660,92800,100,70660,-20377,32524,38136
3337,20070823,2007-08-23,95500,94200,96400,94200,190292,92900,2600,190292,-25694,79898,110394
3336,20070824,2007-08-24,94800,95500,96000,91900,167866,95500,-700,167866,32781,-41443,135085
3335,20070827,2007-08-27,96000,96000,97200,95900,79752,94800,1200,79752,7056,13215,59481
3334,20070828,2007-08-28,97500,96000,98500,95900,53364,96000,1500,53364,2930,12651,37783
3333,20070829,2007-08-29,98600,96800,98900,95600,128042,97500,1100,128042,7083,7600,113359
3332,20070830,2007-08-30,100000,99500,101500,99400,78244,98600,1400,78244,-11868,19785,58459
3331,20070831,2007-08-31,106000,101000,106000,100500,131640,100000,6000,131640,18914,23958,88768
3330,20070903,2007-09-03,106000,104500,106000,103000,55263,106000,0,55263,-7832,3299,51964
3329,20070904,2007-09-04,103000,104500,105000,101500,91332,106000,-3000,91332,6647,-26325,84685
3328,20070905,2007-09-05,99000,103000,103000,97900,261239,103000,-4000,261239,-48238,-31089,261239
3327,20070906,2007-09-06,101000,98000,101000,98000,112124,99000,2000,112124,-11455,3632,108492
3326,20070907,2007-09-07,99900,101000,101000,98300,105988,101000,-1100,105988,-35823,25554,80434
3325,20070910,2007-09-10,98100,99200,99200,95300,108479,99900,-1800,108479,-6568,-1245,108479
3324,20070911,2007-09-11,96800,97400,98900,96500,77172,98100,-1300,77172,-14865,3502,73670
3323,20070912,2007-09-12,97500,97000,98000,96500,48443,96800,700,48443,268,486,47689
3322,20070913,2007-09-13,99900,97500,99900,96700,90317,97500,2400,90317,-1472,1840,88477
3321,20070914,2007-09-14,100000,99800,100500,99100,92044,99900,100,92044,393,1600,90051
3320,20070917,2007-09-17,104500,100000,105000,100000,177257,100000,4500,177257,-5989,53369,123888
3319,20070918,2007-09-18,105000,104500,106000,103000,106157,104500,500,106157,-647,26215,79942
3318,20070919,2007-09-19,107500,107000,109500,104500,149159,105000,2500,149159,8753,37086,103320
3317,20070920,2007-09-20,107500,107500,109500,106500,102523,107500,0,102523,-17570,44157,58366
3316,20070921,2007-09-21,107500,108500,109000,107000,116127,107500,0,116127,-40324,74687,41440
3315,20070927,2007-09-27,113500,109500,114000,108000,255113,107500,6000,255113,-46945,125853,129260
3314,20070928,2007-09-28,110000,114000,114000,108500,80030,113500,-3500,80030,-12802,12168,67862
3313,20071001,2007-10-01,108000,108500,110000,107000,66759,110000,-2000,66759,3180,-7230,63579
3312,20071002,2007-10-02,109500,109000,112000,106500,97567,108000,1500,97567,-35692,46581,50986
3311,20071004,2007-10-04,105500,110000,112500,105000,193698,109500,-4000,193698,21321,-52908,172377
3310,20071005,2007-10-05,105000,106000,106500,103500,116009,105500,-500,116009,-1869,-25074,116009
3309,20071008,2007-10-08,108000,107000,111500,106000,139076,105000,3000,139076,-22838,31861,107215
3308,20071009,2007-10-09,110000,110000,111000,107500,95953,108000,2000,95953,-25228,29810,66143
3307,20071010,2007-10-10,114000,111000,118500,111000,226537,110000,4000,226537,37033,14523,174981
3306,20071011,2007-10-11,115000,115500,118000,113000,103853,114000,1000,103853,-20384,5028,98825
3305,20071012,2007-10-12,117500,116000,119500,115500,190392,115000,2500,190392,-22442,74632,115760
3304,20071015,2007-10-15,115500,121000,121500,115000,149806,117500,-2000,149806,7708,-28418,142098
3303,20071016,2007-10-16,114000,114500,115500,112000,141035,115500,-1500,141035,-4166,5737,135298
3302,20071017,2007-10-17,112000,112500,114000,107500,142140,114000,-2000,142140,-20568,11833,130307
3301,20071018,2007-10-18,115000,110500,119500,109000,184095,112000,3000,184095,5467,-60120,178628
3300,20071019,2007-10-19,115000,118500,122000,115000,192204,115000,0,192204,-19478,-1696,192204
3299,20071022,2007-10-22,111500,108000,116500,105000,190743,115000,-3500,190743,19012,-32192,171731
3298,20071023,2007-10-23,112500,114500,115500,112000,112032,111500,1000,112032,-9844,-23291,112032
3297,20071024,2007-10-24,107500,113500,115500,105500,163153,112500,-5000,163153,5929,-21720,157224
3296,20071025,2007-10-25,115000,110500,123000,110500,369553,107500,7500,369553,-54506,79348,290205
3295,20071026,2007-10-26,125000,120500,127500,117000,274279,115000,10000,274279,-18713,66084,208195
3294,20071029,2007-10-29,128000,127000,128500,122000,162191,125000,3000,162191,-32218,49653,112538
3293,20071030,2007-10-30,124000,125000,126000,120000,117955,128000,-4000,117955,-28122,22719,95236
3292,20071031,2007-10-31,125000,124000,127000,120500,81583,124000,1000,81583,5406,13544,62633
3291,20071101,2007-11-01,126000,128000,128000,123500,129802,125000,1000,129802,-14166,14178,115624
3290,20071102,2007-11-02,118500,123000,123500,116000,159264,126000,-7500,159264,2180,2663,154421
3289,20071105,2007-11-05,123500,120000,123500,118500,127458,118500,5000,127458,-15892,31279,96179
3288,20071106,2007-11-06,121000,123000,127000,121000,80548,123500,-2500,80548,3912,-10121,76636
3287,20071107,2007-11-07,122000,122000,124500,119000,145847,121000,1000,145847,-17659,20712,125135
3286,20071108,2007-11-08,120000,120000,122000,116500,114123,122000,-2000,114123,-14776,23557,90566
3285,20071109,2007-11-09,126000,120000,126500,118000,119491,120000,6000,119491,8510,-1361,110981
3284,20071112,2007-11-12,125000,122000,126000,120000,128287,126000,-1000,128287,-4406,6301,121986
3283,20071113,2007-11-13,125000,128000,131500,121000,124344,125000,0,124344,-3274,13895,110449
3282,20071114,2007-11-14,121000,127000,127000,120000,135513,125000,-4000,135513,-15171,5517,129996
3281,20071115,2007-11-15,116000,120000,121500,114500,133699,121000,-5000,133699,7087,-5799,126612
3280,20071116,2007-11-16,116000,113500,118000,112000,62818,116000,0,62818,5000,11963,45855
3279,20071119,2007-11-19,116000,116000,120500,113500,93335,116000,0,93335,-46556,57557,35778
3278,20071120,2007-11-20,116500,113500,116500,109000,125613,116000,500,125613,4407,20409,100797
3277,20071121,2007-11-21,110500,114500,117000,108000,127079,116500,-6000,127079,-21427,9556,117523
3276,20071122,2007-11-22,108500,109000,111500,104500,86787,110500,-2000,86787,15950,-8434,70837
3275,20071123,2007-11-23,107000,110500,111500,105000,104751,108500,-1500,104751,-12727,-4693,104751
3274,20071126,2007-11-26,108000,107000,113000,106000,99733,107000,1000,99733,-62735,46033,53700
3273,20071127,2007-11-27,111500,106500,115500,105000,122937,108000,3500,122937,-5123,21796,101141
3272,20071128,2007-11-28,113000,113500,114500,110000,65662,111500,1500,65662,-21980,24064,41598
3271,20071129,2007-11-29,112500,113500,117000,112500,64952,113000,-500,64952,19303,-8967,45649
3270,20071130,2007-11-30,112500,113000,116000,111500,69520,112500,0,69520,31618,-25236,37902
3269,20071203,2007-12-03,113000,112500,114500,112000,53435,112500,500,53435,-24717,18942,34493
3268,20071204,2007-12-04,113000,112000,114500,110500,39763,113000,0,39763,15339,-10108,24424
3267,20071205,2007-12-05,113000,112000,114500,111000,61125,113000,0,61125,-23628,19918,41207
3266,20071206,2007-12-06,112500,114000,114500,109500,85584,113000,-500,85584,-2814,-7298,85584
3265,20071207,2007-12-07,108000,113000,113000,108000,39459,112500,-4500,39459,4154,-1754,35305
3264,20071210,2007-12-10,109500,110000,111000,108000,71627,108000,1500,71627,-24288,30180,41447
3263,20071211,2007-12-11,110500,112000,112000,109000,57778,109500,1000,57778,-28076,30289,27489
3262,20071212,2007-12-12,112500,107500,114000,107500,142556,110500,2000,142556,-85529,88747,53809
3261,20071213,2007-12-13,113000,113000,113500,110000,77494,112500,500,77494,-34529,32512,44982
3260,20071214,2007-12-14,113000,113500,114000,108500,47831,113000,0,47831,-7070,6762,41069
3259,20071217,2007-12-17,108000,111500,114000,108000,38512,113000,-5000,38512,5707,-5076,32805
3258,20071218,2007-12-18,110000,107000,111000,103500,87903,108000,2000,87903,5756,2486,79661
3257,20071220,2007-12-20,112000,114000,117500,111000,124178,110000,2000,124178,-38258,61617,62561
3256,20071221,2007-12-21,113000,113000,117000,112500,46472,112000,1000,46472,13811,748,31913
3255,20071224,2007-12-24,116500,113000,118500,113000,44663,113000,3500,44663,-5001,7050,37613
3254,20071226,2007-12-26,116000,115500,118000,115000,38713,116500,-500,38713,7248,8390,23075
3253,20071227,2007-12-27,116000,117000,120500,115000,33643,116000,0,33643,-1315,5668,27975
3252,20071228,2007-12-28,119000,115500,119000,114000,25265,116000,3000,25265,-6002,13349,11916
3251,20080102,2008-01-02,115000,117000,122000,115000,64355,119000,-4000,64355,-6030,-2079,64355
3250,20080103,2008-01-03,116000,115000,117500,113500,66731,115000,1000,66731,-1135,-15525,66731
3249,20080104,2008-01-04,119000,118000,120500,115500,87260,116000,3000,87260,-26000,39925,47335
3248,20080107,2008-01-07,122500,117000,124500,115500,142762,119000,3500,142762,10394,13566,118802
3247,20080108,2008-01-08,123000,124000,124000,119500,57420,122500,500,57420,6907,-5484,50513
3246,20080109,2008-01-09,122500,124500,124500,116000,130301,123000,-500,130301,11781,-21462,118520
3245,20080110,2008-01-10,115500,121000,122500,114500,246156,122500,-7000,246156,20075,-75588,226081
3244,20080111,2008-01-11,111000,116500,118000,108500,97348,115500,-4500,97348,19629,-27328,77719
3243,20080114,2008-01-14,109000,110500,113000,106000,107346,111000,-2000,107346,16391,-12005,90955
3242,20080115,2008-01-15,106000,108500,109000,103000,129565,109000,-3000,129565,12493,-23699,117072
3241,20080116,2008-01-16,99000,104000,104000,97300,219506,106000,-7000,219506,70370,-85860,149136
3240,20080117,2008-01-17,101000,100000,102500,98100,94859,99000,2000,94859,22879,-14539,71980
3239,20080118,2008-01-18,100500,99000,100500,93700,172764,101000,-500,172764,28337,-44853,144427
3238,20080121,2008-01-21,96800,101500,101500,94600,101361,100500,-3700,101361,11342,-23065,90019
3237,20080122,2008-01-22,93800,93400,93800,89300,118864,96800,-3000,118864,34835,-24828,84029
3236,20080123,2008-01-23,90600,95600,95900,89600,158642,93800,-3200,158642,30661,-49204,127981
3235,20080124,2008-01-24,90700,92000,94300,90700,134889,90600,100,134889,1888,-8946,133001
3234,20080125,2008-01-25,94900,92000,96200,92000,175132,90700,4200,175132,16925,10774,147433
3233,20080128,2008-01-28,92100,94800,95600,89700,99591,94900,-2800,99591,24334,-44535,75257
3232,20080129,2008-01-29,92000,93700,93900,90200,82776,92100,-100,82776,26945,-38919,55831
3231,20080130,2008-01-30,91600,94000,94000,89200,126833,92000,-400,126833,5530,-3784,121303
3230,20080131,2008-01-31,90000,91500,91500,89000,177735,91600,-1600,177735,28826,-55965,148909
3229,20080201,2008-02-01,86400,90700,90800,85700,189235,90000,-3600,189235,-5560,-66049,189235
3228,20080204,2008-02-04,89700,87200,91200,86400,203159,86400,3300,203159,24041,-33876,179118
3227,20080205,2008-02-05,88900,90100,90900,88000,178631,89700,-800,178631,14524,-54250,164107
3226,20080211,2008-02-11,87600,87000,88500,85800,178403,88900,-1300,178403,22283,-21026,156120
3225,20080212,2008-02-12,89900,87700,89900,87200,161751,87600,2300,161751,-10316,7754,153997
3224,20080213,2008-02-13,88300,90000,91600,87300,140837,89900,-1600,140837,-4108,-9019,140837
3223,20080214,2008-02-14,89100,89600,90000,87300,191334,88300,800,191334,-6198,-9120,191334
3222,20080215,2008-02-15,88900,87500,89500,85300,160957,89100,-200,160957,4289,-18553,156668
3221,20080218,2008-02-18,90000,89100,90900,88400,83417,88900,1100,83417,-16677,19276,64141
3220,20080219,2008-02-19,91000,91000,91400,89200,100973,90000,1000,100973,4124,-14466,96849
3219,20080220,2008-02-20,87200,90200,90200,86900,207452,91000,-3800,207452,-3804,-51185,207452
3218,20080221,2008-02-21,87300,87300,88200,87000,95530,87200,100,95530,40185,-40422,55345
3217,20080222,2008-02-22,85000,87400,87400,84200,99944,87300,-2300,99944,12950,-35180,86994
3216,20080225,2008-02-25,83500,84400,85600,83200,151710,85000,-1500,151710,224,-22536,151486
3215,20080226,2008-02-26,81600,83800,84300,80500,246551,83500,-1900,246551,-55789,-31135,246551
3214,20080227,2008-02-27,86800,82000,87800,82000,430693,81600,5200,430693,42811,27682,360200
3213,20080228,2008-02-28,88800,87500,89400,86400,195904,86800,2000,195904,45722,8105,142077
3212,20080229,2008-02-29,89500,89000,90200,87500,134796,88800,700,134796,30115,3500,101181
3211,20080303,2008-03-03,89000,86900,89500,86200,144431,89500,-500,144431,-12057,35167,109264
3210,20080304,2008-03-04,88800,88900,89800,87500,77326,89000,-200,77326,2405,1049,73872
3209,20080305,2008-03-05,89500,89500,90000,87200,66846,88800,700,66846,10862,-8953,55984
3208,20080306,2008-03-06,89000,88200,89800,88200,129080,89500,-500,129080,19300,-14371,109780
3207,20080307,2008-03-07,90500,88900,90500,87000,96847,89000,1500,96847,7216,24426,65205
3206,20080310,2008-03-10,89200,90000,90800,88500,140205,90500,-1300,140205,22028,-20689,118177
3205,20080311,2008-03-11,89900,88100,90500,83900,147619,89200,700,147619,15732,-45029,131887
3204,20080312,2008-03-12,88300,90500,90500,86000,211311,89900,-1600,211311,28956,-64336,182355
3203,20080313,2008-03-13,85300,86400,87700,83300,170869,88300,-3000,170869,16426,-37242,154443
3202,20080314,2008-03-14,83400,84700,85600,81500,109304,85300,-1900,109304,30758,-34768,78546
3201,20080317,2008-03-17,81600,83000,83000,78600,107073,83400,-1800,107073,51376,-46902,55697
3200,20080318,2008-03-18,80400,81400,81400,79600,87032,81600,-1200,87032,4501,-23828,82531
3199,20080319,2008-03-19,81000,82500,82500,80300,91333,80400,600,91333,-8986,-10766,91333
3198,20080320,2008-03-20,82800,80500,84000,80300,119684,81000,1800,119684,21076,-98,98608
3197,20080321,2008-03-21,87000,83200,87400,82800,63384,82800,4200,63384,8722,10786,43876
3196,20080324,2008-03-24,87600,87000,88900,86100,94769,87000,600,94769,26296,23756,44717
3195,20080325,2008-03-25,88900,88000,90000,87100,115685,87600,1300,115685,2333,45899,67453
3194,20080326,2008-03-26,92800,88300,92800,88100,115366,88900,3900,115366,-11693,45580,69786
3193,20080327,2008-03-27,92600,92800,92900,88200,132652,92800,-200,132652,-7606,17816,114836
3192,20080328,2008-03-28,95000,90300,95700,90300,145045,92600,2400,145045,-21428,45330,99715
3191,20080331,2008-03-31,95500,96400,97600,94000,132031,95000,500,132031,-52920,72579,59452
3190,20080401,2008-04-01,93700,94000,94800,91500,118011,95500,-1800,118011,-14529,15952,102059
3189,20080402,2008-04-02,95000,94000,95300,92200,87290,93700,1300,87290,-17027,36206,51084
3188,20080403,2008-04-03,97000,93700,97300,93000,90544,95000,2000,90544,-13687,25953,64591
3187,20080404,2008-04-04,97100,97600,98400,95500,51852,97000,100,51852,3427,10089,38336
3186,20080407,2008-04-07,98000,98100,99200,97000,138827,97100,900,138827,52934,-48867,85893
3185,20080408,2008-04-08,96000,99200,99200,95200,76951,98000,-2000,76951,-5575,-1132,76951
3184,20080410,2008-04-10,98600,94500,98600,94300,105784,96000,2600,105784,-10941,28430,77354
3183,20080411,2008-04-11,100000,97600,100500,97600,124476,98600,1400,124476,5681,8176,110619
3182,20080414,2008-04-14,97900,98000,100000,96600,43065,100000,-2100,43065,-1207,-4025,43065
3181,20080415,2008-04-15,99700,97600,99700,94800,74597,97900,1800,74597,-8424,14346,60251
3180,20080416,2008-04-16,100000,100500,103000,99300,88207,99700,300,88207,8896,3628,75683
3179,20080417,2008-04-17,105500,103000,106500,101000,148000,100000,5500,148000,-44803,67608,80392
3178,20080418,2008-04-18,104500,106000,108000,103500,334423,105500,-1000,334423,-19371,40377,294046
3177,20080421,2008-04-21,104000,104500,104500,102000,242933,104500,-500,242933,-26172,119004,123929
3176,20080422,2008-04-22,104500,102500,107500,100500,145196,104000,500,145196,-65991,84236,60960
3175,20080423,2008-04-23,102000,102500,103500,101000,101168,104500,-2500,101168,25572,-39891,75596
3174,20080424,2008-04-24,101500,100500,101500,98600,126398,102000,-500,126398,-19826,4755,121643
3173,20080425,2008-04-25,104500,100500,108500,100500,84897,101500,3000,84897,-16405,48387,36510
3172,20080428,2008-04-28,106500,105000,107500,104000,87987,104500,2000,87987,7119,-7324,80868
3171,20080429,2008-04-29,106000,108000,108000,104500,44935,106500,-500,44935,3593,2736,38606
3170,20080430,2008-04-30,106000,106000,107500,104500,68797,106000,0,68797,10353,-8967,58444
3169,20080502,2008-05-02,103000,105500,106500,99800,206704,106000,-3000,206704,46876,-89746,159828
3168,20080506,2008-05-06,100000,101000,101500,99100,140845,103000,-3000,140845,14108,-48501,126737
3167,20080507,2008-05-07,100000,99700,100500,99200,74764,100000,0,74764,-29283,37465,37299
3166,20080508,2008-05-08,98100,99700,101500,98100,107616,100000,-1900,107616,6118,6872,94626
3165,20080509,2008-05-09,94400,98800,101000,93500,228984,98100,-3700,228984,-40032,9552,219432
3164,20080513,2008-05-13,94200,93600,95600,92700,93400,94400,-200,93400,-28725,30635,62765
3163,20080514,2008-05-14,94500,94200,95200,92200,115194,94200,300,115194,-17979,21591,93603
3162,20080515,2008-05-15,98000,94600,101500,93000,209354,94500,3500,209354,9686,19067,180601
3161,20080516,2008-05-16,99000,99100,100500,97300,74072,98000,1000,74072,-5880,14284,59788
3160,20080519,2008-05-19,100500,98200,102000,98200,35756,99000,1500,35756,9157,-1111,26599
3159,20080520,2008-05-20,99800,100000,101000,99700,95901,100500,-700,95901,-53567,62679,33222
3158,20080521,2008-05-21,99200,100500,100500,98400,49562,99800,-600,49562,-2430,10240,39322
3157,20080522,2008-05-22,96000,97000,97800,95500,61221,99200,-3200,61221,3199,-10547,58022
3156,20080523,2008-05-23,99000,95500,99400,94300,52274,96000,3000,52274,-14860,25724,26550
3155,20080526,2008-05-26,97400,98900,98900,94900,102904,99000,-1600,102904,-6728,5911,96993
3154,20080527,2008-05-27,97700,96200,97700,94700,126928,97400,300,126928,-4286,22641,104287
3153,20080528,2008-05-28,97400,97000,98300,95500,98492,97700,-300,98492,-35601,49524,48968
3152,20080529,2008-05-29,100000,98600,101500,97900,104894,97400,2600,104894,3483,27804,73607
3151,20080530,2008-05-30,103000,102500,103000,99500,116662,100000,3000,116662,-31604,59497,57165
3150,20080602,2008-06-02,102000,101500,103000,99700,70478,103000,-1000,70478,-14616,20537,49941
3149,20080603,2008-06-03,101000,102000,102000,100000,21412,102000,-1000,21412,1591,-65,19821
3148,20080604,2008-06-04,98600,101000,101000,98300,64346,101000,-2400,64346,13907,-23508,50439
3147,20080605,2008-06-05,98600,98000,99000,97000,56187,98600,0,56187,-3550,2512,53675
3146,20080609,2008-06-09,99700,98600,100000,97000,90774,98600,1100,90774,-11865,17822,72952
3145,20080610,2008-06-10,99000,99300,99500,95200,63923,99700,-700,63923,11560,-16051,52363
3144,20080611,2008-06-11,95000,98500,98500,95000,100571,99000,-4000,100571,-2043,-24652,100571
3143,20080612,2008-06-12,89900,92900,93000,89900,128219,95000,-5100,128219,10294,-35838,117925
3142,20080613,2008-06-13,91800,91000,91800,90000,101872,89900,1900,101872,32422,-26308,69450
3141,20080616,2008-06-16,89000,91200,91700,88800,114448,91800,-2800,114448,14420,-46905,100028
3140,20080617,2008-06-17,89200,89000,90300,88500,78737,89000,200,78737,5091,-4961,73646
3139,20080618,2008-06-18,89600,89000,90700,87800,127438,89200,400,127438,29026,-38606,98412
3138,20080619,2008-06-19,90400,89500,93800,88600,141778,89600,800,141778,8554,2383,130841
3137,20080620,2008-06-20,92400,91400,93000,90400,62431,90400,2000,62431,41853,-32329,20578
3136,20080623,2008-06-23,91400,92400,93500,90700,59743,92400,-1000,59743,6926,-19073,52817
3135,20080624,2008-06-24,91700,91500,91800,89900,48734,91400,300,48734,16966,-9780,31768
3134,20080625,2008-06-25,91100,90500,92000,90300,68871,91700,-600,68871,20390,-16533,48481
3133,20080626,2008-06-26,88700,90800,91100,88100,125920,91100,-2400,125920,49628,-70858,76292
3132,20080627,2008-06-27,86500,86500,87000,83900,164548,88700,-2200,164548,56290,-74740,108258
3131,20080630,2008-06-30,84700,84900,86000,84100,121261,86500,-1800,121261,18246,-22401,103015
3130,20080701,2008-07-01,84800,84700,88000,84200,167775,84700,100,167775,57577,-58307,110198
3129,20080702,2008-07-02,85600,86700,87800,84000,178287,84800,800,178287,73075,-74038,105212
3128,20080703,2008-07-03,87000,86000,90000,84100,175588,85600,1400,175588,51167,-40208,124421
3127,20080704,2008-07-04,89000,89600,90500,86200,146875,87000,2000,146875,40940,-33856,105935
3126,20080707,2008-07-07,87300,89000,89900,86400,95511,89000,-1700,95511,39439,-41670,56072
3125,20080708,2008-07-08,84900,87300,87300,82600,114693,87300,-2400,114693,52090,-48076,62603
3124,20080709,2008-07-09,80100,84900,88000,80100,118131,84900,-4800,118131,24046,-48956,94085
3123,20080710,2008-07-10,77100,80100,80300,75900,194305,80100,-3000,194305,30158,-65656,164147
3122,20080711,2008-07-11,81200,78100,85100,77500,212400,77100,4100,212400,7807,539,204054
3121,20080714,2008-07-14,80900,81200,81400,78900,82188,81200,-300,82188,-20629,18189,63999
3120,20080715,2008-07-15,78100,80800,82200,77100,133490,80900,-2800,133490,30831,-39403,102659
3119,20080716,2008-07-16,77500,78000,79000,76500,83901,78100,-600,83901,22425,-19764,61476
3118,20080717,2008-07-17,78800,79000,83100,78200,146495,77500,1300,146495,-6297,1472,145023
3117,20080718,2008-07-18,82000,80800,83000,80100,172877,78800,3200,172877,24678,2998,145201
3116,20080721,2008-07-21,82500,82200,84400,82200,105320,82000,500,105320,3142,-13331,102178
3115,20080722,2008-07-22,85200,83200,85200,82000,160193,82500,2700,160193,22026,-15960,138167
3114,20080723,2008-07-23,85700,85200,86700,85000,70283,85200,500,70283,-9032,8355,61928
3113,20080724,2008-07-24,89000,86800,90600,86300,172758,85700,3300,172758,13626,-3175,159132
3112,20080725,2008-07-25,87800,86000,89600,86000,98896,89000,-1200,98896,17129,-34183,81767
